Sr.No,Sample ID,Unnamed: 2,Date,Location,Kit used,CtN,CtE,CtRdRp,PCR_Result
221,SSBS/W/2021/221,S/221,12/9/2021,"Pimple gurav, 60 feet road",Genepath,0,0,26.16,Positive
222,SSBS/W/2021/222,S/222,12/9/2021,Dapodi / Old sangvi Bridge,Genepath,0,36.8,36.6,Positive
223,SSBS/W/2021/223,S/223,12/10/2021,Rahatni new DP road,Genepath,36.9,35.81,0,Positive
224,SSBS/W/2021/224,S/224,12/10/2021,Kalewadi Adarsh Nagar,Genepath,35.19,34.95,35.7,Positive
225,SSBS/W/2021/225,S/225,12/10/2021,"Wolf Colony, Pimpri",Genepath,0,0,0,Negative
226,SSBS/W/2021/226,S/226,12/10/2021,"Phugewadi/Dapodi, sai service",Genepath,0,36.6,0,Negative
227,SSBS/W/2021/227,S/227,12/10/2021,"Harris Bridge, Dapodi",Genepath,0,0,0,Negative
228,SSBS/W/2021/228,S/228,13/12/2021,Shivajinagar Vaidhawadi,Genepath,32,35,34,Positive
229,SSBS/W/2021/229,S/229,13/12/2021,Shivajinagar Chaturshringi,Genepath,35,0,35,Positive
230,SSBS/W/2021/230,S/230,13/12/2021,Sanjeevan hospital Kothrud,Genepath,34,39,36,Positive
231,SSBS/W/2021/231,S/231,13/12/2021,Karve road Kothrud,Genepath,0,0,0,Negative
232,SSBS/W/2021/232,S/232,13/12/2021,Warje Mumbai/Bangalore Highway,Genepath,33,38,30,Positive
233,SSBS/W/2021/233,S/233,13/12/2021,Kothrud Bus depot,Genepath,0,0,0,Negative
234,SSBS/W/2021/234,S/234,14/12/2021,"Baner, Mahalunge Bridge",Genepath,0,0,0,Negative
235,SSBS/W/2021/235,S/235,14/12/2021,Baner/Balewadi,Genepath,0,0,0,Negative
236,SSBS/W/2021/236,S/236,14/12/2021,"Pune/Mumbai Highway, Aundh/Sangvi",Genepath,0,0,0,Negative
237,SSBS/W/2021/237,S/237,14/12/2021,"DP road, Botanical Garden, Aundh",Genepath,32,36,35,Positive
238,SSBS/W/2021/238,S/238,14/12/2021,Someshwarwadi,Genepath,0,0,0,Negative
